,review,rating,date,country
258,"✅ Trip Verified |  They canceled my return flight without offering any alternative flights or a refund. I had to book another flight last minute (less than 24 hours from my departure) to get back home. Their customer service number had this message “due to the high volume of calls, we cannot take your call right now”.",10,19th January 2022,United States
259,"✅ Trip Verified |  Our flight from Amsterdam to Dubai was delayed and we missed our second flight because of that. In the airport, they offered us a new ticket and we had to stay in the airport overnight. The airport was not suitable for a family stay, and we could not use the lounge with a economy ticket. The airport staff were rude and they did not do much to help. They gave us vouchers for dinner, but the restaurant that we went (Gallery) gave us the lowest quality of food with that voucher. Will never make a mistake like this again. The only positive thing was the little gift for my kid in the plane.",1,17th January 2022,Netherlands
260,"✅ Trip Verified |  I flew Emirates on Dec 14, 2021 from Houston to Dubai with a family of six. It was a horrendous experience for me and my family. The seats were extremely uncomfortable with no space to recline or move. The food was bad, tasteless. I will never fly emirates and i will advise you to do the same.",2,11th January 2022,United States
261,"Not Verified | I will not fly with Emirates again. My return flight was cancelled from Nairobi to USA via Dubai, due to rising covid cases. In all fairness the African Continent including Kenya has the lowest covid deaths in the world. To add insult to injury, I was only refunded 1/4 of the value of my return flight back to the USA. I had to rebook a one way ticket with another flight that cost me a fortune. I would not recommend anyone to use Emirates.",2,11th January 2022,United States
262,✅ Trip Verified |  Have flown all sections in business except rerun sector Dubai to Melbourne. Was on wait for upgrade found Dubai staff sell a passenger additional points and upgrade him even though I was waiting for points upgrade. Dubai staff are not the best and don’t seem to care Form now on will never recommend Emirates. Economy is packed liked sardines despite Covid. I would not trust their advertising.,2,8th January 2022,Australia
263,"✅ Trip Verified |  This was a poor experience from start to finish.  Arrived at the airport to find there was a four-hour delay to the flight. Emirates, however, did not check in bags so no one could go through security or otherwise move to an area with seats available (there were about 30 seats in the area for 200+ passengers). There was very little communication about what problem, if any, caused the delay. Ultimately, Emirates did begin check-in and then began a shuffle of repeated delays until, about seven hours later, Emirates cancelled the flight. Very little communication. ""Maybe there will be a flight tomorrow."" Called Emirates and no answer. Tried online chat without success. Ultimately turned to twitter to get rebooked (had onward flight). This in turn led to the agent trying to charge me an additional several thousand dollars because of fare differential between flying days. I pushed back hard on that, but got the sense Emirates simply sought to profit. Agent tried to put me on a flight in which I would miss my connection to a city served only once every five days by air. Emirates, unlike other airlines, won't book passengers on cancelled flights onto other airlines. Ultimately, Emirates added an additional flight the following day. Told us to get to airport four hours before, but then wouldn't check-in rebooked flight until two hours before so the two flights wouldn't get confused (why then have us in area with no seats and tell us to just stand there for several hours?). Onboard, seats were cramped. My child got a ""kids meal"" she didn't ask for which consisted of one burnt chicken nugget! Service was lackluster. I've flown more than two million miles on other airlines; Emirates was down near the bottom. Seems they are seeking to coast on their reputation but are no longer willing to do the bare minimum.",1,2nd January 2022,United States
264,"✅ Trip Verified |  Overall the experience was good while on the plane. However getting my luggage was a nightmare! I as well as almost all of the passengers had to wait for over one hour staring at the carousel for our luggage to come out. We landed on time and going through customs was very fast. Arrival was at about 9 pm, I was done with customs by 9:20 pm, BUT I had to wait at carousel 1 from 9:20 pm until 10:45 to get my luggage. Although Emirates may say that they're not responsible for what happens outside the airline, the passenger is charged a fee for going through Newark Airport, and therefore the airline is also responsible. One other issue which may seem unimportant, but it actually is very important: The entertainment is extremely difficult to use as I when I played a movie a radio station presenter came on with advertisements. Despite trying several times, I could not get it to go to movie sound mode. Ground service I place a one star as I said earlier, Emirates is also responsible for the huge delay of not only my, but almost all of the passenger's luggage.",5,1st January 2022,United States
265,"✅ Trip Verified |  After a nightmare of a start to our family, due to the COVID centre doing the incorrect test (after we asked them) - Emirates came to the rescue! Farad who helped us get in the next flight out at no extra charge and prioritised our boarding. I was so impressed with the service after being super stressed along with the rest of the family. So a big thank you to all the ground team at Manchester.",1,26th December 2021,United Kingdom
266,"✅ Trip Verified |  Impossible to reach the customer service: the only phone line in Australia is always busy: no waiting, no call you later option, simply busy line. Gave up after trying calling 10 times and had to cancel my tickets.",2,25th December 2021,Australia
267,✅ Trip Verified |  I have booked a flight on Emirates and it clearly stated refundable / cancelable. due to covid cases and lockdowns I had to cancel the flight but unfortunately they did not refund me but instead issued airline credit which also expires. As I live in the UK I would only be traveling via Emirates if there is a stop over in UAE which is not the case. I contacted Emirates and they said sorry but this is the rule knowing it was clearly stated otherwise. I am really disappointed as I know Emirates is a big airline and other smaller airlines have refunded me for similar cases during this period. simply unacceptable,6,18th December 2021,United Kingdom
268,"✅ Trip Verified |  I booked a return flight from Manchester to Kolkata and back with Emirates. On the way to Kolkata I missed the connecting flight and used a different flight to reach Kolkata. While at Kolkata, I tried to contact Emirates customer service. The Emirates office in Kolkata has been closed for a long time because of Covid so the only way to contact them was through phone. I have regularly called Emirates contact number and waited for hours to speak to an advisor. When I could not get through over the phone. I emailed Emirates twice. Although emails were acknowledged but never got any response back. On 5th December, I turned up at the airport for my return flight but I was refused boarding the return flight. Emirates customer service said that my flight was cancelled because I missed connecting flights. Emirates did not make any efforts to contact me or refund my booking. I went through lots of stress just because of Emirates terrible customer service.",10,17th December 2021,United Kingdom
269,"✅ Trip Verified |  On November17 2021 when we were ready to depart from Dubai for DFW,  I asked supervisor to change my seat, she asked me to pay. I told her I am not asking upgrading. I told her Emirates is not like before it used to be and she said she will call the security. I am not fighting or screaming, why would you call Security? My friends told me Emirates is not like before and to travel Qatar Airways, but I didn't listen to them. I had old Emirates in my mind when I used to travel from Uk during 1990 until 2007.",1,11th December 2021,United States
270,"✅ Trip Verified |  We booked a trip from London to Muscat and then Muscat to Dubai for a week before returning to the UK. Emirates left us stranded in Muscat Airport. They had cancelled the flight and not even notified us of this cancellation. They had just put us on another flight 40 hours later without telling us. We turned up to the airport and the flight did not exist. There was no help desk at the airport, their App was down and we couldn't get through to customer service in Oman or the UAE. We tried calling customer service in the UK, and were still not put through to anyone 40 minutes later. Bearing in mind, we were having to use our UK mobiles abroad. We had another British couple come up to us who hear our conversation and were going through exactly the same thing. I am over six months pregnant and this was meant to be a honeymoon for us because our original wedding and honeymoon were cancelled due to COVID. In the end we had to rent a car to drive over the border as there weren't any flights to the UAE for 12 hours and we did not want to spend the night in the airport when I was six months pregnant. We tried to complain in Dubai & we were told they couldn't do anything, we had to report it via the website upon completion of our full trip when we arrived back in the UK. I lodged a complaint & we have just received the below response, which takes no accountability and tries to pass the buck to FlyDubai. Firstly, they are part of the same group and secondly, we booked our tickets through Emirates & they took full payment for the whole itinerary. Therefore, we are their customer & we are nothing to do with FlyDubai. They offered us a measly 10,000 miles each, which costs them nothing & is completely worthless since their restructure of airmiles a few years ago. You need a min. 50-100K to upgrade. Emirates response: Thank for your correspondence and naturally, I regret to learn that you were affected by a schedule change and that you only found out when you arrived at the airport. I do appreciate the inconvenience you were caused, especially as I understand that you are pregnant. If I may explain that you booked a ticket which included two different airlines. Although there is a partnership, Emirates and FlyDubai are two separate companies and Emirates have no control over the operation of their flights and vice versa. In this instance, the schedule change occurred to your flight from Muscat operated by FlyDubai; whilst I am not aware why their proposed flight EK2033 on 5 November was removed from their schedules in advance of travel, I would like to explain that unfortunately, there are rare occasions when these cannot be avoided due to operational or commercial requirements, or other unforeseen circumstances. That being said, I note that you experienced difficulties when you tried to contact us and I would like to take this opportunity to apologise on behalf of Emirates, as well as our partner FlyDubai. Whilst we are unable to offer any reimbursement of expenses incurred as a consequence of a cancellation of a flight operated by another airline, I would suggest you contact your private travel insurers, as standard travel insurance policies usually cover such situations. Nevertheless, as a gesture on our part to apologise for the negative impression you have been left with on this occasion, I have credited 10,000 goodwill miles to both your Skywards accounts. Miss May, I do hope that you will continue to choose Emirates in the future.",2,1st December 2021,United Kingdom
271,"✅ Trip Verified | My flight 585 and subsequent 241 were a nightmare to me. I found Emirates service grossly poor and discriminatory, and full of mistakes and ignorance. My observations are below, and I am requesting Emirates to consider them seriously: 1) I found a few of the messages in Bengali are incorrect, attached one for your ready reference 2) No Bengali Entertainment at all, despite a lot of Bangladeshi people, travel through Emirates. (All Indian Regional Movies were there and even though Japanese) 3) Flight started after an hour late, and no announcement was made, and you failed to meet timeline, attached photo as a ready reference 4) No sound system was provided, and repeated requests were made to provide one but ignored 5) In-flight attendants were not responded to, while they were called several times by the passenger (I tried three times but no response) 6) Food options were not there and only asked to take what was available like either vegetarian or chicken 7) Disembarkation took very long, almost an hour, and no announcement made to inform passengers 8) The cleanliness of the cabin was not satisfactory at all 9) COVID-19 supplies were inadequate and discriminatory (No kit provided other than a hand sanitizer tube).",2,1st December 2021,Canada
272,"Not Verified |  Great and consistent service given by the crew, especially the steward serving the cabin from row 24 till 36. He helped with finding space in the overhead bins for cabin bags, was very friendly and motivated, and provided excellent service. During the entire flight he paid attention on passengers wearing their face mask, and made remarks to the ones not wearing it. In the past (before Covid19), I experienced some flights where service was lacking and unsatisfied, but this was a pleasant experience. Only negative point is the self check-in at Dubai Airport. People are guided to self check-in machines, also elderly and less frequent flyers, big families, and it takes very long time to have their check-in completed. Especially when they have excess baggage and already half of the bags have been send through. After completing check in, still have to queue up for passport and PCR verification at another Emirates desk, which makes the self check-in less convenient. Nevertheless great experience again.",2,13th November 2021,Belgium
273,"✅ Trip Verified |  
We flew Emirates from Los Angeles (LAX) to Dubai to attend the Dubai Expo 2020. It's a long-haul flight -- the flight is about 16 hours -- but my wife and I enjoyed the flight, even with the extreme length. The coach seats were comfortable, with a good amount of leg room and the IFE had a wide variety of movies, TV, and audio to keep me occupied. The cabin stewards were friendly and seemed to enjoy their job which helped make the flight even better! I look forward to flying Emirates again.",1,12th November 2021,United States
274,✅ Trip Verified | This was my first and worst experience to fly with Emirates. My previous flight going back to USA was business class and I was provided with a defective seat and I complained about it through their website. They did not bother to refund me for that trip. Coming back to Karachi there was a total lack of training and professionalism. The crew were rude and lacked time management. I am a frequent traveler and unfortunately it was the worst experience I had with this airline. I would never go again or recommend this airline.,2,9th November 2021,United States
275,"✅ Trip Verified |  I need to cancel my flight, but I didn't receive the confirmation email and didn't know my reservation code. I wasted 3 phone calls only to wait 30+ minutes in total without reaching an operator. By chance, a reminder email contained the reservation code, so I request to cancel through their form. It's been more than a week and no reply has arrived yet. The flight date is near, so I'm trying to change the date, at least, to take time. But there are no options for the same price (it should be free of charge).",9,3rd November 2021,Italy
276,"✅ Trip Verified |  My wife and I reunited in Seychelles in August 2021 after being separated by the pandemic. We had planned to return to the Philippines where she is a citizen. Upon checking in for our first flight with Emirates, the supervisor said I needed a visa since I was a USA citizen. We attempted to explain that Philippines allows a visa on arrival for foreign spouses traveling with their Filipino spouse under the Balikbayan program. We showed our original apostilled marriage certificate as proof. However, the supervisor stated their system did not list these other provisions. We attempted to show multiple IATF resolutions that the Balikbayan had been allowed for several months, but she stated their system was updated daily. We agreed to follow up during normal business hours since this was Friday night. When I asked for documentation regarding my offloading, the supervisor indicated she couldn't provide this and that I'd have to make an online complaint. We were able to confirm by phone and email from the Bureau of Immigration that I should be allowed entry with my wife. We then showed this documentation to different Emirates supervisors at the airport who expressed confusion as to why I was prohibited to board in the first place. They agreed to independently confirm with Emirates airport staff in Philippines and the airport immigration officials. After they did, the airport supervisors confirmed we could rebook our flights and I would be able to board. We incurred thousands of dollars of extra travel expenses while obtaining this confirmation. And our connecting airlines refused to refund us our tickets without documentation as to why I was prohibited to board. When I requested this documentation from the online complaint system, I did not receive a clear response about the matter for 10 days. And that response added that the Balikbayan program didn't apply to me since I wasn't a Filipino even though I had already provided them emails from the Philippines BOI and the Emirates airport staff confirming I should be allowed to travel. I spent the next month continuing to email, resubmit documentation, and call anyone at Emirates who'd listen without any success. I did not receive any corrected documentation about the offloading, any financial compensation or flight credits, not even an apology acknowledging their initial mistake! Each time they continued to cordially reiterate that they took ""the matter seriously"" and ""have nothing further to add."" International travelers, especially Filipinos, should beware flying Emirates! They're playing the role of immigration without the knowledge or authority to do so. The online complaint system for Emirates is a travesty of a mockery! You can only upload 2 documents at a time. And you can't make multiple submissions without waiting for Emirates to reply. A week or two later. There's no one you can talk to about matters like this by phone either! I asked to speak with supervisors and managers multiple times without any success. Each time they referred me to the (useless) online complaint system. I don't even know why they bothered to send me delayed replies. They didn't address any concern or ever explain why the airport supervisors could approve me to rebook and board but the online customer service could make say something completely different.",10,23rd October 2021,United States
277,"✅ Trip Verified |  Most staff are attentive and helpful except the cabin crew that I flew from Houston to Dubai, she refused to assist me with my luggage although she noticed I had some disability. My best experience was at KLIA Airport,  staff assist me, transport me with wheelchair until I complete all the screening process. He was professional, polite and caring, and patiently helped me until I was transfered to Quarantine Hotel. I was exhausted traveling almost 48 hours.",1,21st October 2021,United States
278,"✅ Trip Verified |  A reliable and consistent service, despite flying during a pandemic. The flight left and arrived on time. The cabin was clean, cabin crew professional and friendly. The meals offer excellent portions for a short flight. ",1,20th October 2021,United States
279,"✅ Trip Verified |  Following an incident of the flight being moved to the next day (which can happen and was an uncontrollable unfortunate incident). But, what was controllable, was the level of customer service. No customer should be told that they cannot rebook with another airline after an airline has breached they ticket contract or else they would not receive a hotel voucher. I believe this is the era of choice? The customer doesn’t put themselves in the unfortunate position of an airline being in breach of their airline ticket. And should a customer then choose another airline to reach their destination, the airline should know that the customer did not choose to have to rebook a flight. Nevertheless, the flight a customer chooses should be entirely up to them, given the option. Emirates should never try to hold people hostage after they mess up!  Customers should never be ridiculed for not choosing an airline they no longer trust. Emirates needs a serious training of their staff on customer service, or simply just learn the term, because what I experienced should just not be an experience anyone goes through.",1,17th October 2021,Germany
280,✅ Trip Verified |  Customer service is rude. Food was rotten. Had a great connection flight but a few days before flight received an Email informing me that that my connection flight would be delayed 15 hours due to operational needs. Flying with 2 young boys a 2 and a 4 year old is a nightmare when you have to spend 15 hours for a connection flight. Also upon requesting a hotel room for the wait emirates refused. I'll never fly Emirates again.,7,4th October 2021,United States
281,"✅ Trip Verified | Never again on Emirates. The business class seats are narrower than those on EVA Air, Singapore and Qatar. They are also not real full-flat sleeper seats as they do not recline to 180 degrees. For a very large business class cabin seating 50+ it has two small, narrow, windowless lavatories. On this flight one of the lavatories flooded and remained so on the entire route. The wine selection was decent but the food was utterly inedible and honestly hideous to look at. All I could eat was the soup and it was heavily salted. I've had much better food in economy class of poorly rated airlines. Last and least, the entertainment system was difficult to operate. Was anything good? Yes, the staff was excellent and so was the car service. I take four or more international business class trips a year and have never encountered something worse than Emirates, both Newark to Athens and Athens to Newark.",10,30th September 2021,United States
282,"Not Verified |  Nothing wrong with Emirates flights, it’s their customer service. I booked a flight few days back and today I received an email from them that they have change my flight booking with 27 hours of stay in Dubai which was only 3:45 hours. And now when I’m reaching out to them, they are not picking up any calls or not even showing up in their live chat. I was on call for 1:30 hour and no one showed up. Really have to say their customer services is very poor. ",2,21st September 2021,United States
283,"✅ Trip Verified |  Space in the A380 economy class is great, the seat is pretty comfortable and soft. Low quality pillows and blankets were provided. Headphones are not great but better than in most other Economy class cabins. The crew is very friendly, professional and proactive. The catering experience was okay, nothing special. My expectations were a bit higher to be honest. WiFi is pretty cheap and was working fine. Check In process in DXB was a complete disaster - more than 1,5 hours of waiting time at checkin counter, pretty arrogant and unfriendly staff.",1,20th September 2021,Austria
284,"Not Verified |  I have been a skywards member with Emirates since 2012. But recently, when I took my pregnant wife to board the Emirates flight from Mexico City to Dubai with a stopover at Barcelona, they inform me that I cannot travel since I do not have a transit visa at Barcelona and it is mandatory to disembark at Barcelona. This was not the case earlier. Emirates Mexico team was sitting on this information for 2 months and have never updated to a passenger. They have my email id, contact number and still they don't bring up this requirement. My wife was travelling to India for delivery and everything was planned. Lack of information sharing by Emirates has brought so much of discomfort to me and my wife. Really bad from emirates.",1,13th September 2021,Mexico
285,"✅ Trip Verified |  Emirates canceled tickets and did not propose anything on how to fly and did not make a full refund! If you use Emirates, you can stay without a ticket and without money. I had two tickets for this flight on 13 July. On 4 July, I was informed that Emirates had canceled the flight. I contacted Emirates customer services and asked about any alternative flight, and they answered that they could not do it. They proposed later flights on 16 July, but it was impossible for us because we had visas valid until 14 July. I told him about it. So, they suggested requesting a refund, I did it, but they refunded a small percentage of ticket costs. I had two two-way tickets that cost 800 USD each. They refunded 188 USD for one and 250 USD for another for one-way tickets. Then I knew that Emirates for such a canceled flight suggested Turkish airlines, but the customer service did not suggest this option for me.  I am very disappointed that Emirates canceled the flight and did not suggest how to fly from departure to the final destination. Besides, they refunded not the full amount of one-way ticket costs. I wrote feedback-complaint several times to Emirates, and they answered that the flights had been canceled according to the OAE government and could not help me. ",2,11th September 2021,Ukraine
286,"✅ Trip Verified |  First and hugest disappointment and shock happened when I opened application to add some information and found out that my family's return tickets were changed 10 days ago without notifying any of my family members by email, or text, or call. We got according to new tickets, that we had to stay in Dubai almost 3 days for connecting flight!!!! And I discovered it by chance! When I called to agent to fix this problem, she told me that I have to pay $1,000 extra because they do not have same class tickets, while it was not my choice to change travel dates. I had to go in person to ticketing agent to solve the problem with return tickets dates to be able to come back to work in time after vocation.  The ticketing agent said, that to be able to return on that date I will have to stay in Dubai 25 hours while on initial reservation it was 17 hours. I asked about a complimentary hotel and she tried but failed to book it in the system , and offered to do it later. On my way back to the USA in Dubai Emirates desk refused to give us free hotel and we had to spend 25 hours sitting in the airport. ",8,3rd September 2021,United States
287,"✅ Trip Verified |  The worst airline that I've ever used on every aspect. On my inbound trip from DFW to Beirut, they cancel my trip from Dubai to Beirut and booked me on a different trip with very long connection time. The refused to give me a hotel even though, they changed my flight. They keep many seats open and they don't allow anyone to use them but on the other hand, passengers are packed in some section of the plane. It is great way to spread COVID 19!. I will never use this airline again.",1,23rd August 2021,United States
288,"Not Verified |  Was travelling to Nairobi after undergoing treatment, at Indira Gandhi International Airport we get to the check-in and the people there are so rude. They shout at you to do this and do that. The customer service from Emirates in that Airport is terrible to say the least. Anyway we get there and the guy checking us in tells us our booking is unavailable, that we need to leave the line - no explanation no nothing! We came to learn later that UAE had a new fly rule regarding long layovers for passengers from India. Now I don't know if they knew that but an apology would have been considerate regardless. We did pay over $1500 dollars for that ticket after all. Mind you we even had the e-ticket from Emirates with the confirmation and everything. Honestly I get much better customer service riding an Uber at 1/hundredth of the cost. Super disappointed. ",1,16th August 2021,Kenya
289,"✅ Trip Verified |  A big scam! For a family of five with a little child with us, spending nine hours at the airport was really a very bad experience. I booked my flight in April and I chose a three-hour connection for the august 13 trip from Tunisia to Bahrain. The eve of the flight, I found out that the flight has changed and the connection had been extended from three to nine hours. I spend more than one hour running with my kids and suitcases from one connection desk to another trying to get a lounge to spend the night but in vain. No one at the airport knew what they were doing. I finally went to the only hotel in the airport and to my surprise, we had to pay more than 3000UAE dirhams to stay overnight! Did I ask for my trip to be suddenly changed? Did I ask for my connection to be extended? Did the company notify me and provide me with a hotel room to spend the night with my kids? Who did you fly in the 2 am flight that we initially booked and paid for?",1,14th August 2021,Bahrain
290,"Not Verified |  We booked as a family our annual leave to our home country on 1st July, and they provided A380 where it was fully booked the boarding process took them long time leaving passengers in the middle of nowhere even families with small kids like our family we were suffering without any help from anyone of the airline. During airport procedures I was injured with a small finger cut so once we are in the air after switching off seat belts sign I pinched the attendant button, and for 40 min no one came, to the limit I went to attendants place to request band aid. I have a boy and a girl where one got served with kids food and the other not for 30 min till I stood up again and requested for the food, and the answer I was provided that “sorry the oven is broke”. I had to take the same airline traveling back to Dubai for some work and I hoped to have a different experience, once I approached the check in counter I was informed that the flight is delayed with 105 min, and the flight took off  Delayed more with 150 min.  I wrote to customer service to compensate such loss who took them 2 days to reply my complain explaining how they are aiming for best customer service and trying to be number 1 and by the end they told me nothing and no compensation. I still have 2 flights already booked with them and really this will be the last time I will think flying with such bad attitude and service.",1,12th August 2021,United Arab Emirates
291,✅ Trip Verified |  I've been flying Qatar airways all the times and this is the first time I use Emirates. I had a horrible experience. The food is really bad and the service is terrible. The staff are not helpful at all. Many seats are empty but they don't allow anyone to use them. They kept them empty the entire flight which was 16 hours. I will never use Emirates again.,1,11th August 2021,United States
292,"Not Verified |  We had 3 hours delay in Los Angeles and when we arrived in Dubai our next flight were gone so we had to have 14 hours transit time in Dubai, but because we are green card holders the air line didn't send us to any hotel out side the airport and even they didn't send us to any hotel in the airport which was really unacceptable! Although they even didn't have any regret for such happening. That was my last trip by Emirates.",2,11th August 2021,United States
293,"✅ Trip Verified |  Cabin crew were amazing, the flight from ORD to Dubai was great, the airplane was spotless, food was average, or below average but the economy seats and entertainment were above average. The flight from Dubai to Cairo was almost at equal standing, bathrooms were dirty most of the time though, the main problem that will prohibit me from recommending this airline to anyone is the experiences that I had with their ground crews in Chicago and in Dubai. Counter check-in and package drop off process overall with Emirates were the least efficient out there between the other lines that were checking in at the same time, needless to say that I spent almost 45-60 mins to finalize this step while the whole infamous TSA passport control process took less than 15 mins from start to finish on that busy day. When I finally made it to the check-in counter and I presented my Emirates compliant (not country-specific, Emirates ask for more than that) PCR test, they questioned whether or not I meet the time requirement simply because they compared the sample collection date and time in (CST) with the final destination departure time which was in Dubai local time without accounting for the time difference, after explaining that she took the test and disappeared for 10 mins before returning with the stamp of approval. Right after that she printed our 3 boarding passes for the trip to Dubai and beyond and asked to place our two carry-ons and two backpacks containing our personal items (our laptops, tablets, snacks, medicine, toys, and a change of cloth for our 4-year-old toddler) she stated that they will all be treated as carry-ons and that we were only allowed to bring two of them on board, and that if we don’t we will need to pay $200.00 in extra fees, or we can take our backpacks and check-in our carry-ons, she explained that this carry-ons restriction were a company policy imposed due to Covid, what does Covid has to do with the carry-ons and personal items allowance policy? I never had this experience ever with any other airline including my previous flights thru Emirates & Etihad, no one ever considered my laptop carrying bag as a carryon it was always listed as a personal item which I was allowed to bring on board to stow underneath my seat, I was in a state of shock and I told her that those carry-ons contained items with rechargeable batteries but that didn’t seem to sway her mind, I was in no position to argue at that point and took as much as I could from those rechargeable items form those carry-ons stuffing it into our backpacks just to follow my own safety protocols, on flight I saw many passengers boarding the airplane with their carry-ons and backpacks, and I highly doubt that they paid the $200 they wanted us to pay at the counter! Finally, the point where I completely snapped asking to see the supervisor on-site is when she-alongside another colleague of hers stated that my toddler' aviation approved child seat was not allowed inside the cabin and then they tried to charge me for an extra fourth seat claiming that to bring this on-board I’ll have to pay for an extra seat! I was like my child is 4 years old, we paid for his seat ticket of which we will place this child's seat! nothing changed their mind until the supervisor came, and I told her that we have three tickets for all 3 passengers, and she agreed with our point of view. Filed a complaint with their customer service to get a generic response.",1,8th August 2021,United States
294,"✅ Trip Verified |  I have been traveling with Emirates for over a decade and I would like to drop you my comments on my last flight from Dubai to Milan. Really it was a very pleasant flight, very good cabin crew- really professional, attentive and made the flight very comfortable. ",1,1st August 2021,Italy
295,"✅ Trip Verified | First of all, on the return flight, the staff delayed opening the gate, then I found my confirmed seat was busy with another passenger, so they were changing my seat without talking to another passenger. Second, I asked for water 3-4 times, then they provided me with a cup of water, not a bottle of water. (It's strange to have this in corona time). Third: the food was not tasty at all, it was very cold. Fourth, they announce that the internet is free to use, but in reality, it needs the passenger to pay money to have it. (And hosts not supported any passenger to get free internet). Fifth, they start collecting the headset 20 minutes before the flight ending so you couldn't keep watching the movie. Sixth, There was a shortage of covers and they were not available on the plane.",4,27th July 2021,United Arab Emirates
296,"Not Verified |  Their customer service is absolutely atrocious. Their website is not updated and they do not take responsibility for lacking to keep the passengers up to date with Covid travel requirements. I booked my flight two months in advance and checked the Emirates website daily in preparation for it. I am fully vaccinated but still needed a negative covid result, no problem, I got it done. When I got to the airport they said the covid result needs to be stamped. Turns out, all labs in the USA are FDA regulated and do not stamp their results for authorization. The only place that does so is inside the airport, by appointment and costs $175. I learned all of this as I was checking in for my flight. So there is obviously no time to make it and I had to miss my flight. Normally, airlines take responsibility for this and accommodate the passenger by rebooking them free of charge. Not Emirates, their reservations/customer service first said that the next flight is 11 days out, and then gave me no choice but to pay another $2000 to book a seat. I've never experienced anything like this with any airline. They are usually accommodating and not money hungry.",5,11th July 2021,United States
297,"✅ Trip Verified |  I am writing this review for my dad who flew Economy from Toronto to Dubai last Saturday. He booked Emirates hoping that they provide what they promise during this pandemic (safe flights, hygienic, booking half the flight's capacity, etc) but my dad had a horrible experience. The flight was fully booked which was quite bothersome at a time when everyone around the world are practising social distancing, the faucets in both the lavatories in his proximity were overflowing and I was told that the crew had been wearing the same masks throughout the 13-14 hour flight. This is an epitome of how Emirates treats its non-premium class as the ""cattle-class"" and that basic hygiene and comfort don't really matter for those who decide to fly at a lower rate. Really ashamed at Emirates for the inequality that they show. During these unprecedented times, they must take into account the passenger's health and safety rather than looking at profits. Please provide what you promise, Emirates. Your advertisements with the cabins being sanitized and having fully vaccinated crew (who knows?) really are just for attraction, aren't they? Do what you preach to begin with.",10,5th July 2021,Canada
298,"Not Verified |  San Francisco to Delhi via Dubai. Boarding from San Francisco was easy , only restriction to have weight of carry on needs to exact 8 kg or less than 8 kg. Our carry on bag was scaled for weight and allowed in to fly from SFO. We landed in Dubai and checked in again to start boarding. We were stopped to measure the carry on bag weight. The staff in Dubai was extreme rude , ill-mannered and disrespectful to deny the fact that the same carry on bag was allowed from origination point. Dubai staff did not allow the carry on bag with same weight. We were forced to take out almonds bag of 2 lbs and trash it which were carrying for my parents in Dubai. Our experience of flying Emirates was awful. Ba careful while flying with Emirates , they have different standards for passengers in USA and Dubai.",2,27th June 2021,United States
299,"✅ Trip Verified |  Their customer service lady was rude and once I ask her to slow down to help me walk through and understand my itinerary, she got mad and told me to contact the travel agent. I simply asked to transfer the call to someone up the chain so that I can ask my question but she refused. I would not recommend travel with this airline and waste your money. Please stay away from them as their customer service folks are very rude and unsupportive.",1,27th June 2021,United States
300,"✅ Trip Verified |  I would like to commend the crew for excellent service they extended to us. Super patience and extended personalised service to my Girl Friend who was allergic to spicy food. When I informed staff about her, they  went beyond our expectation and offered non spicy meal that was onboard. However it took time for him to heat the food but eventually the meal was delivered and personally I was wowed by that excellent service extended to myself and my girlfriend.",5,5th June 2021,United Arab Emirates
301,✅ Trip Verified |  Booked a flight to Israel because I was told by the staff at Emirates it was good to travel and all I need was a PCR and Ministry of health document. But I actually needed 3 documents so I wasn’t allowed in Dubai .. they only asked for two documents at SFO to board the flight. They gave me a refund due to they inconvenience but took it back when I tried to fly back from Dubai to SFO for some odd reason. They said I was supposed to call and rebook the flight to go from Dubai to SfFO which I did and now they’re saying they can’t find that phone call  and they tell me just submit a complaint form. This whole experience has been a nightmare.,3,27th May 2021,United States
302,✅ Trip Verified |  Shame on you Emirates for creating such a chaos with Dubai connect Hotel. My wife and children ticket were confirmed for Hotel and they were told that boarding pass is sufficient for the hotel but the staff at the Dubai airport are asking for a voucher for the hotel. My friends on the same flight go the hotel but my wife is currently at terminal 3 wondering what to do and this is their first time traveling without me. I was not expecting this from you Emirates.,2,26th May 2021,United States
303,"✅ Trip Verified | First time to travel after almost a year and half due to pandemic, was a little bit nervous but everything went smooth. Chauffeur service was punctual on time, Business class lounge at both DXB and CAI were spacious and clean, of course services has been adjusted due to pandemic. Check in was friendly and keeping social distancing, service on board was excellent, crew were always available and very friendly on both flights and always engaging. Luckily flight was half empty on outbound and almost empty on the return back to DXB. Traveling with my elderly mother during pandemic was made easy and smooth thanks to Emirates.",5,13th May 2021,United Arab Emirates
304,"✅ Trip Verified |  Although I entered the aircraft with no expectations, I was enticed by Emirates' charming interiors and choice of color. The flight attendants are hard working folks and heeded to all requests. I changed my flight tickets 3 times due to the pandemic and Emirates always cooperated to change at no cost. The overall flying experience was a pleasure.",8,3rd May 2021,India
305,"Not Verified |  Extremely disappointed with the meals served. After paying a large amount and flying in business class, they tell me that they did not have any non veg food left. All they have is some vegetarian curry and the remaining food is over. It was unbelievable that a flight such as Emirates would give such poor treatment to its loyal customers. Please do not consider travelling by business class, it really doesn't make a difference. They will say they have No food to give and just to save their face, they brought me coffee and drinks from first class. Utterly discontented with the service and staff.",1,15th April 2021,United Arab Emirates
